"","type","batch"
"cell 146","acinar","celseq"
"cell 147","acinar","celseq"
"cell 148","acinar","celseq"
"cell 149","acinar","celseq"
"cell 150","acinar","celseq"
"cell 151","acinar","celseq"
"cell 152","acinar","celseq"
"cell 153","acinar","celseq"
"cell 154","acinar","celseq"
"cell 155","acinar","celseq"
"cell 156","acinar","celseq"
"cell 157","acinar","celseq"
"cell 158","acinar","celseq"
"cell 159","acinar","celseq"
"cell 160","acinar","celseq"
"cell 161","acinar","celseq"
"cell 162","acinar","celseq"
"cell 163","acinar","celseq"
"cell 164","acinar","celseq"
"cell 165","acinar","celseq"
"cell 166","acinar","celseq"
"cell 167","acinar","celseq"
"cell 168","acinar","celseq"
"cell 169","acinar","celseq"
"cell 170","acinar","celseq"
"cell 171","acinar","celseq"
"cell 172","acinar","celseq"
"cell 173","acinar","celseq"
"cell 174","acinar","celseq"
"cell 175","acinar","celseq"
"cell 176","acinar","celseq"
"cell 177","acinar","celseq"
"cell 178","acinar","celseq"
"cell 179","acinar","celseq"
"cell 180","acinar","celseq"
"cell 181","acinar","celseq"
"cell 182","acinar","celseq"
"cell 183","acinar","celseq"
"cell 184","acinar","celseq"
"cell 185","acinar","celseq"
"cell 186","acinar","celseq"
"cell 187","acinar","celseq"
"cell 188","acinar","celseq"
"cell 189","acinar","celseq"
"cell 190","acinar","celseq"
"cell 191","acinar","celseq"
"cell 192","acinar","celseq"
"cell 193","acinar","celseq"
"cell 194","acinar","celseq"
"cell 195","acinar","celseq"
"cell 196","acinar","celseq"
"cell 197","acinar","celseq"
"cell 198","acinar","celseq"
"cell 199","acinar","celseq"
"cell 200","acinar","celseq"
"cell 201","acinar","celseq"
"cell 202","acinar","celseq"
"cell 203","acinar","celseq"
"cell 204","acinar","celseq"
"cell 205","acinar","celseq"
"cell 206","acinar","celseq"
"cell 207","acinar","celseq"
"cell 208","acinar","celseq"
"cell 209","acinar","celseq"
"cell 210","acinar","celseq"
"cell 211","acinar","celseq"
"cell 212","acinar","celseq"
"cell 213","acinar","celseq"
"cell 214","acinar","celseq"
"cell 215","acinar","celseq"
"cell 216","acinar","celseq"
"cell 217","acinar","celseq"
"cell 218","acinar","celseq"
"cell 219","acinar","celseq"
"cell 220","acinar","celseq"
"cell 221","acinar","celseq"
"cell 222","acinar","celseq"
"cell 223","acinar","celseq"
"cell 224","acinar","celseq"
"cell 225","acinar","celseq"
"cell 226","acinar","celseq"
"cell 227","acinar","celseq"
"cell 228","acinar","celseq"
"cell 229","alpha","celseq"
"cell 230","alpha","celseq"
"cell 231","alpha","celseq"
"cell 232","alpha","celseq"
"cell 233","alpha","celseq"
"cell 234","alpha","celseq"
"cell 235","alpha","celseq"
"cell 236","alpha","celseq"
"cell 237","alpha","celseq"
"cell 238","alpha","celseq"
"cell 239","alpha","celseq"
"cell 240","alpha","celseq"
"cell 241","alpha","celseq"
"cell 242","alpha","celseq"
"cell 243","alpha","celseq"
"cell 244","alpha","celseq"
"cell 245","alpha","celseq"
"cell 246","alpha","celseq"
"cell 247","alpha","celseq"
"cell 248","alpha","celseq"
"cell 249","alpha","celseq"
"cell 250","alpha","celseq"
"cell 251","alpha","celseq"
"cell 252","alpha","celseq"
"cell 253","alpha","celseq"
"cell 254","alpha","celseq"
"cell 255","alpha","celseq"
"cell 256","alpha","celseq"
"cell 257","alpha","celseq"
"cell 258","alpha","celseq"
"cell 259","alpha","celseq"
"cell 260","alpha","celseq"
"cell 261","alpha","celseq"
"cell 262","alpha","celseq"
"cell 263","alpha","celseq"
"cell 264","alpha","celseq"
"cell 265","alpha","celseq"
"cell 266","alpha","celseq"
"cell 267","alpha","celseq"
"cell 268","alpha","celseq"
"cell 269","alpha","celseq"
"cell 270","alpha","celseq"
"cell 271","alpha","celseq"
"cell 272","alpha","celseq"
"cell 273","alpha","celseq"
"cell 274","alpha","celseq"
"cell 275","alpha","celseq"
"cell 276","alpha","celseq"
"cell 277","alpha","celseq"
"cell 278","alpha","celseq"
"cell 279","alpha","celseq"
"cell 280","alpha","celseq"
"cell 281","alpha","celseq"
"cell 282","alpha","celseq"
"cell 283","alpha","celseq"
"cell 284","alpha","celseq"
"cell 285","alpha","celseq"
"cell 286","alpha","celseq"
"cell 287","alpha","celseq"
"cell 288","alpha","celseq"
"cell 289","alpha","celseq"
"cell 290","alpha","celseq"
"cell 291","alpha","celseq"
"cell 292","alpha","celseq"
"cell 293","alpha","celseq"
"cell 294","alpha","celseq"
"cell 295","alpha","celseq"
"cell 296","alpha","celseq"
"cell 297","alpha","celseq"
"cell 298","alpha","celseq"
"cell 299","alpha","celseq"
"cell 300","alpha","celseq"
"cell 301","alpha","celseq"
"cell 302","alpha","celseq"
"cell 303","alpha","celseq"
"cell 304","alpha","celseq"
"cell 305","alpha","celseq"
"cell 306","alpha","celseq"
"cell 307","alpha","celseq"
"cell 308","alpha","celseq"
"cell 309","alpha","celseq"
"cell 310","alpha","celseq"
"cell 311","alpha","celseq"
"cell 312","alpha","celseq"
"cell 313","alpha","celseq"
"cell 314","alpha","celseq"
"cell 315","alpha","celseq"
"cell 316","alpha","celseq"
"cell 317","alpha","celseq"
"cell 318","alpha","celseq"
"cell 319","alpha","celseq"
"cell 320","alpha","celseq"
"cell 321","alpha","celseq"
"cell 322","alpha","celseq"
"cell 323","alpha","celseq"
"cell 324","alpha","celseq"
"cell 325","alpha","celseq"
"cell 326","alpha","celseq"
"cell 327","alpha","celseq"
"cell 328","alpha","celseq"
"cell 329","alpha","celseq"
"cell 330","alpha","celseq"
"cell 331","alpha","celseq"
"cell 332","alpha","celseq"
"cell 333","alpha","celseq"
"cell 334","alpha","celseq"
"cell 335","alpha","celseq"
"cell 336","alpha","celseq"
"cell 337","alpha","celseq"
"cell 338","alpha","celseq"
"cell 339","alpha","celseq"
"cell 340","alpha","celseq"
"cell 341","alpha","celseq"
"cell 342","alpha","celseq"
"cell 343","alpha","celseq"
"cell 344","alpha","celseq"
"cell 345","alpha","celseq"
"cell 346","alpha","celseq"
"cell 347","alpha","celseq"
"cell 348","alpha","celseq"
"cell 349","alpha","celseq"
"cell 350","alpha","celseq"
"cell 351","alpha","celseq"
"cell 352","alpha","celseq"
"cell 353","alpha","celseq"
"cell 354","alpha","celseq"
"cell 355","alpha","celseq"
"cell 356","alpha","celseq"
"cell 357","alpha","celseq"
"cell 358","alpha","celseq"
"cell 359","alpha","celseq"
"cell 360","alpha","celseq"
"cell 361","alpha","celseq"
"cell 362","alpha","celseq"
"cell 363","alpha","celseq"
"cell 364","alpha","celseq"
"cell 365","alpha","celseq"
"cell 366","alpha","celseq"
"cell 367","alpha","celseq"
"cell 368","alpha","celseq"
"cell 369","alpha","celseq"
"cell 370","alpha","celseq"
"cell 371","alpha","celseq"
"cell 372","alpha","celseq"
"cell 373","alpha","celseq"
"cell 374","alpha","celseq"
"cell 375","alpha","celseq"
"cell 376","alpha","celseq"
"cell 377","alpha","celseq"
"cell 378","alpha","celseq"
"cell 379","alpha","celseq"
"cell 380","alpha","celseq"
"cell 381","alpha","celseq"
"cell 382","alpha","celseq"
"cell 383","alpha","celseq"
"cell 384","alpha","celseq"
"cell 385","alpha","celseq"
"cell 386","alpha","celseq"
"cell 387","alpha","celseq"
"cell 388","alpha","celseq"
"cell 389","alpha","celseq"
"cell 390","alpha","celseq"
"cell 391","alpha","celseq"
"cell 392","alpha","celseq"
"cell 393","alpha","celseq"
"cell 394","alpha","celseq"
"cell 395","alpha","celseq"
"cell 396","alpha","celseq"
"cell 397","alpha","celseq"
"cell 398","alpha","celseq"
"cell 399","alpha","celseq"
"cell 400","alpha","celseq"
"cell 401","alpha","celseq"
"cell 402","alpha","celseq"
"cell 403","alpha","celseq"
"cell 404","alpha","celseq"
"cell 405","alpha","celseq"
"cell 406","alpha","celseq"
"cell 407","alpha","celseq"
"cell 408","alpha","celseq"
"cell 409","alpha","celseq"
"cell 410","alpha","celseq"
"cell 411","alpha","celseq"
"cell 412","alpha","celseq"
"cell 413","alpha","celseq"
"cell 414","alpha","celseq"
"cell 415","alpha","celseq"
"cell 416","alpha","celseq"
"cell 417","alpha","celseq"
"cell 418","alpha","celseq"
"cell 419","alpha","celseq"
"cell 420","beta","celseq"
"cell 421","beta","celseq"
"cell 422","beta","celseq"
"cell 423","beta","celseq"
"cell 424","beta","celseq"
"cell 425","beta","celseq"
"cell 426","beta","celseq"
"cell 427","beta","celseq"
"cell 428","beta","celseq"
"cell 429","beta","celseq"
"cell 430","beta","celseq"
"cell 431","beta","celseq"
"cell 432","beta","celseq"
"cell 433","beta","celseq"
"cell 434","beta","celseq"
"cell 435","beta","celseq"
"cell 436","beta","celseq"
"cell 437","beta","celseq"
"cell 438","beta","celseq"
"cell 439","beta","celseq"
"cell 440","beta","celseq"
"cell 441","beta","celseq"
"cell 442","beta","celseq"
"cell 443","beta","celseq"
"cell 444","beta","celseq"
"cell 445","beta","celseq"
"cell 446","beta","celseq"
"cell 447","beta","celseq"
"cell 448","beta","celseq"
"cell 449","beta","celseq"
"cell 450","beta","celseq"
"cell 451","beta","celseq"
"cell 452","beta","celseq"
"cell 453","beta","celseq"
"cell 454","beta","celseq"
"cell 455","beta","celseq"
"cell 456","beta","celseq"
"cell 457","beta","celseq"
"cell 458","beta","celseq"
"cell 459","beta","celseq"
"cell 460","beta","celseq"
"cell 461","beta","celseq"
"cell 462","beta","celseq"
"cell 463","beta","celseq"
"cell 464","beta","celseq"
"cell 465","beta","celseq"
"cell 466","beta","celseq"
"cell 467","beta","celseq"
"cell 468","beta","celseq"
"cell 469","beta","celseq"
"cell 470","beta","celseq"
"cell 471","beta","celseq"
"cell 472","beta","celseq"
"cell 473","beta","celseq"
"cell 474","beta","celseq"
"cell 475","beta","celseq"
"cell 476","beta","celseq"
"cell 477","beta","celseq"
"cell 478","beta","celseq"
"cell 479","beta","celseq"
"cell 480","beta","celseq"
"cell 481","beta","celseq"
"cell 482","beta","celseq"
"cell 483","beta","celseq"
"cell 484","beta","celseq"
"cell 485","beta","celseq"
"cell 486","beta","celseq"
"cell 487","beta","celseq"
"cell 488","beta","celseq"
"cell 489","beta","celseq"
"cell 490","beta","celseq"
"cell 491","beta","celseq"
"cell 492","beta","celseq"
"cell 493","beta","celseq"
"cell 494","beta","celseq"
"cell 495","beta","celseq"
"cell 496","beta","celseq"
"cell 497","beta","celseq"
"cell 498","beta","celseq"
"cell 499","beta","celseq"
"cell 500","beta","celseq"
"cell 501","beta","celseq"
"cell 502","beta","celseq"
"cell 503","beta","celseq"
"cell 504","beta","celseq"
"cell 505","beta","celseq"
"cell 506","beta","celseq"
"cell 507","beta","celseq"
"cell 508","beta","celseq"
"cell 509","beta","celseq"
"cell 510","beta","celseq"
"cell 511","beta","celseq"
"cell 512","beta","celseq"
"cell 513","beta","celseq"
"cell 514","beta","celseq"
"cell 515","beta","celseq"
"cell 516","beta","celseq"
"cell 517","beta","celseq"
"cell 518","beta","celseq"
"cell 519","beta","celseq"
"cell 520","beta","celseq"
"cell 521","beta","celseq"
"cell 522","beta","celseq"
"cell 523","beta","celseq"
"cell 524","beta","celseq"
"cell 525","beta","celseq"
"cell 526","beta","celseq"
"cell 527","beta","celseq"
"cell 528","beta","celseq"
"cell 529","beta","celseq"
"cell 530","beta","celseq"
"cell 531","beta","celseq"
"cell 532","beta","celseq"
"cell 533","beta","celseq"
"cell 534","beta","celseq"
"cell 535","beta","celseq"
"cell 536","beta","celseq"
"cell 537","beta","celseq"
"cell 538","beta","celseq"
"cell 539","beta","celseq"
"cell 540","beta","celseq"
"cell 541","beta","celseq"
"cell 542","beta","celseq"
"cell 543","beta","celseq"
"cell 544","beta","celseq"
"cell 545","beta","celseq"
"cell 546","beta","celseq"
"cell 547","beta","celseq"
"cell 548","beta","celseq"
"cell 549","beta","celseq"
"cell 550","beta","celseq"
"cell 551","beta","celseq"
"cell 552","beta","celseq"
"cell 553","beta","celseq"
"cell 554","beta","celseq"
"cell 555","beta","celseq"
"cell 556","beta","celseq"
"cell 557","beta","celseq"
"cell 558","beta","celseq"
"cell 559","beta","celseq"
"cell 560","beta","celseq"
"cell 561","beta","celseq"
"cell 562","beta","celseq"
"cell 563","beta","celseq"
"cell 564","beta","celseq"
"cell 565","beta","celseq"
"cell 566","beta","celseq"
"cell 567","beta","celseq"
"cell 568","beta","celseq"
"cell 569","beta","celseq"
"cell 570","beta","celseq"
"cell 571","beta","celseq"
"cell 572","beta","celseq"
"cell 573","beta","celseq"
"cell 574","beta","celseq"
"cell 575","beta","celseq"
"cell 576","beta","celseq"
"cell 577","beta","celseq"
"cell 578","beta","celseq"
"cell 579","beta","celseq"
"cell 580","beta","celseq"
"cell 581","delta","celseq"
"cell 582","delta","celseq"
"cell 583","delta","celseq"
"cell 584","delta","celseq"
"cell 585","delta","celseq"
"cell 586","delta","celseq"
"cell 587","delta","celseq"
"cell 588","delta","celseq"
"cell 589","delta","celseq"
"cell 590","delta","celseq"
"cell 591","delta","celseq"
"cell 592","delta","celseq"
"cell 593","delta","celseq"
"cell 594","delta","celseq"
"cell 595","delta","celseq"
"cell 596","delta","celseq"
"cell 597","delta","celseq"
"cell 598","delta","celseq"
"cell 599","delta","celseq"
"cell 600","delta","celseq"
"cell 601","delta","celseq"
"cell 602","delta","celseq"
"cell 603","delta","celseq"
"cell 604","delta","celseq"
"cell 605","delta","celseq"
"cell 606","delta","celseq"
"cell 607","delta","celseq"
"cell 608","delta","celseq"
"cell 609","delta","celseq"
"cell 610","delta","celseq"
"cell 611","delta","celseq"
"cell 612","delta","celseq"
"cell 613","delta","celseq"
"cell 614","delta","celseq"
"cell 615","delta","celseq"
"cell 616","delta","celseq"
"cell 617","delta","celseq"
"cell 618","delta","celseq"
"cell 619","delta","celseq"
"cell 620","delta","celseq"
"cell 621","delta","celseq"
"cell 622","delta","celseq"
"cell 623","delta","celseq"
"cell 624","delta","celseq"
"cell 625","delta","celseq"
"cell 626","delta","celseq"
"cell 627","delta","celseq"
"cell 628","delta","celseq"
"cell 629","delta","celseq"
"cell 630","delta","celseq"
"cell 631","ductal","celseq"
"cell 632","ductal","celseq"
"cell 633","ductal","celseq"
"cell 634","ductal","celseq"
"cell 635","ductal","celseq"
"cell 636","ductal","celseq"
"cell 637","ductal","celseq"
"cell 638","ductal","celseq"
"cell 639","ductal","celseq"
"cell 640","ductal","celseq"
"cell 641","ductal","celseq"
"cell 642","ductal","celseq"
"cell 643","ductal","celseq"
"cell 644","ductal","celseq"
"cell 645","ductal","celseq"
"cell 646","ductal","celseq"
"cell 647","ductal","celseq"
"cell 648","ductal","celseq"
"cell 649","ductal","celseq"
"cell 650","ductal","celseq"
"cell 651","ductal","celseq"
"cell 652","ductal","celseq"
"cell 653","ductal","celseq"
"cell 654","ductal","celseq"
"cell 655","ductal","celseq"
"cell 656","ductal","celseq"
"cell 657","ductal","celseq"
"cell 658","ductal","celseq"
"cell 659","ductal","celseq"
"cell 660","ductal","celseq"
"cell 661","ductal","celseq"
"cell 662","ductal","celseq"
"cell 663","ductal","celseq"
"cell 664","ductal","celseq"
"cell 665","ductal","celseq"
"cell 666","ductal","celseq"
"cell 667","ductal","celseq"
"cell 668","ductal","celseq"
"cell 669","ductal","celseq"
"cell 670","ductal","celseq"
"cell 671","ductal","celseq"
"cell 672","ductal","celseq"
"cell 673","ductal","celseq"
"cell 674","ductal","celseq"
"cell 675","ductal","celseq"
"cell 676","ductal","celseq"
"cell 677","ductal","celseq"
"cell 678","ductal","celseq"
"cell 679","ductal","celseq"
"cell 680","ductal","celseq"
"cell 681","ductal","celseq"
"cell 682","ductal","celseq"
"cell 683","ductal","celseq"
"cell 684","ductal","celseq"
"cell 685","ductal","celseq"
"cell 686","ductal","celseq"
"cell 687","ductal","celseq"
"cell 688","ductal","celseq"
"cell 689","ductal","celseq"
"cell 690","ductal","celseq"
"cell 691","ductal","celseq"
"cell 692","ductal","celseq"
"cell 693","ductal","celseq"
"cell 694","ductal","celseq"
"cell 695","ductal","celseq"
"cell 696","ductal","celseq"
"cell 697","ductal","celseq"
"cell 698","ductal","celseq"
"cell 699","ductal","celseq"
"cell 700","ductal","celseq"
"cell 701","ductal","celseq"
"cell 702","ductal","celseq"
"cell 703","ductal","celseq"
"cell 704","ductal","celseq"
"cell 705","ductal","celseq"
"cell 706","ductal","celseq"
"cell 707","ductal","celseq"
"cell 708","ductal","celseq"
"cell 709","ductal","celseq"
"cell 710","ductal","celseq"
"cell 711","ductal","celseq"
"cell 712","ductal","celseq"
"cell 713","ductal","celseq"
"cell 714","ductal","celseq"
"cell 715","ductal","celseq"
"cell 716","ductal","celseq"
"cell 717","ductal","celseq"
"cell 718","ductal","celseq"
"cell 719","ductal","celseq"
"cell 720","ductal","celseq"
"cell 721","ductal","celseq"
"cell 722","ductal","celseq"
"cell 723","ductal","celseq"
"cell 724","ductal","celseq"
"cell 725","ductal","celseq"
"cell 726","ductal","celseq"
"cell 727","ductal","celseq"
"cell 728","ductal","celseq"
"cell 729","ductal","celseq"
"cell 730","ductal","celseq"
"cell 731","ductal","celseq"
"cell 732","ductal","celseq"
"cell 733","ductal","celseq"
"cell 734","ductal","celseq"
"cell 735","ductal","celseq"
"cell 736","ductal","celseq"
"cell 737","ductal","celseq"
"cell 738","ductal","celseq"
"cell 739","ductal","celseq"
"cell 740","ductal","celseq"
"cell 741","ductal","celseq"
"cell 742","ductal","celseq"
"cell 743","ductal","celseq"
"cell 744","ductal","celseq"
"cell 745","ductal","celseq"
"cell 746","ductal","celseq"
"cell 747","ductal","celseq"
"cell 748","ductal","celseq"
"cell 749","ductal","celseq"
"cell 750","ductal","celseq"
"cell 751","ductal","celseq"
"cell 752","ductal","celseq"
"cell 753","ductal","celseq"
"cell 754","ductal","celseq"
"cell 755","ductal","celseq"
"cell 756","ductal","celseq"
"cell 757","ductal","celseq"
"cell 758","ductal","celseq"
"cell 759","ductal","celseq"
"cell 760","ductal","celseq"
"cell 761","ductal","celseq"
"cell 762","ductal","celseq"
"cell 763","ductal","celseq"
"cell 764","ductal","celseq"
"cell 765","ductal","celseq"
"cell 766","ductal","celseq"
"cell 767","ductal","celseq"
"cell 768","ductal","celseq"
"cell 769","ductal","celseq"
"cell 770","ductal","celseq"
"cell 771","ductal","celseq"
"cell 772","ductal","celseq"
"cell 773","ductal","celseq"
"cell 774","ductal","celseq"
"cell 775","ductal","celseq"
"cell 776","ductal","celseq"
"cell 777","ductal","celseq"
"cell 778","ductal","celseq"
"cell 779","ductal","celseq"
"cell 780","ductal","celseq"
"cell 781","ductal","celseq"
"cell 782","ductal","celseq"
"cell 783","ductal","celseq"
"cell 784","ductal","celseq"
"cell 785","ductal","celseq"
"cell 786","ductal","celseq"
"cell 787","ductal","celseq"
"cell 788","ductal","celseq"
"cell 789","ductal","celseq"
"cell 790","ductal","celseq"
"cell 791","ductal","celseq"
"cell 792","ductal","celseq"
"cell 793","ductal","celseq"
"cell 794","ductal","celseq"
"cell 795","ductal","celseq"
"cell 796","ductal","celseq"
"cell 797","ductal","celseq"
"cell 798","ductal","celseq"
"cell 799","ductal","celseq"
"cell 800","ductal","celseq"
"cell 801","ductal","celseq"
"cell 802","ductal","celseq"
"cell 803","ductal","celseq"
"cell 804","ductal","celseq"
"cell 805","ductal","celseq"
"cell 806","ductal","celseq"
"cell 807","ductal","celseq"
"cell 808","ductal","celseq"
"cell 809","ductal","celseq"
"cell 810","ductal","celseq"
"cell 811","ductal","celseq"
"cell 812","ductal","celseq"
"cell 813","ductal","celseq"
"cell 814","ductal","celseq"
"cell 815","ductal","celseq"
"cell 816","ductal","celseq"
"cell 817","ductal","celseq"
"cell 818","ductal","celseq"
"cell 819","ductal","celseq"
"cell 820","ductal","celseq"
"cell 821","ductal","celseq"
"cell 822","ductal","celseq"
"cell 823","ductal","celseq"
"cell 824","ductal","celseq"
"cell 825","ductal","celseq"
"cell 826","ductal","celseq"
"cell 827","ductal","celseq"
"cell 828","ductal","celseq"
"cell 829","ductal","celseq"
"cell 830","ductal","celseq"
"cell 831","ductal","celseq"
"cell 832","ductal","celseq"
"cell 833","ductal","celseq"
"cell 834","ductal","celseq"
"cell 835","ductal","celseq"
"cell 836","ductal","celseq"
"cell 837","ductal","celseq"
"cell 838","ductal","celseq"
"cell 839","ductal","celseq"
"cell 840","ductal","celseq"
"cell 841","ductal","celseq"
"cell 842","ductal","celseq"
"cell 843","ductal","celseq"
"cell 844","ductal","celseq"
"cell 845","ductal","celseq"
"cell 846","ductal","celseq"
"cell 847","ductal","celseq"
"cell 848","ductal","celseq"
"cell 849","ductal","celseq"
"cell 850","ductal","celseq"
"cell 851","ductal","celseq"
"cell 852","ductal","celseq"
"cell 853","ductal","celseq"
"cell 854","ductal","celseq"
"cell 855","ductal","celseq"
"cell 856","ductal","celseq"
"cell 857","ductal","celseq"
"cell 858","ductal","celseq"
"cell 859","ductal","celseq"
"cell 860","ductal","celseq"
"cell 861","ductal","celseq"
"cell 862","ductal","celseq"
"cell 863","ductal","celseq"
"cell 864","ductal","celseq"
"cell 865","ductal","celseq"
"cell 866","ductal","celseq"
"cell 867","ductal","celseq"
"cell 868","ductal","celseq"
"cell 869","ductal","celseq"
"cell 870","ductal","celseq"
"cell 871","ductal","celseq"
"cell 872","ductal","celseq"
"cell 873","ductal","celseq"
"cell 874","ductal","celseq"
"cell 875","ductal","celseq"
"cell 876","ductal","celseq"
"cell 877","ductal","celseq"
"cell 878","ductal","celseq"
"cell 879","ductal","celseq"
"cell 880","ductal","celseq"
"cell 881","ductal","celseq"
"cell 882","ductal","celseq"
"cell 883","ductal","celseq"
"cell 884","ductal","celseq"
"cell 885","ductal","celseq"
"cell 886","ductal","celseq"
"cell 887","ductal","celseq"
"cell 888","ductal","celseq"
"cell 889","ductal","celseq"
"cell 890","ductal","celseq"
"cell 891","ductal","celseq"
"cell 892","ductal","celseq"
"cell 893","ductal","celseq"
"cell 894","ductal","celseq"
"cell 895","ductal","celseq"
"cell 896","ductal","celseq"
"cell 897","ductal","celseq"
"cell 898","ductal","celseq"
"cell 899","ductal","celseq"
"cell 900","ductal","celseq"
"cell 901","ductal","celseq"
"cell 902","ductal","celseq"
"cell 903","ductal","celseq"
"cell 904","ductal","celseq"
"cell 905","ductal","celseq"
"cell 906","ductal","celseq"
"cell 907","ductal","celseq"
"cell 908","ductal","celseq"
"cell 909","ductal","celseq"
"cell 910","ductal","celseq"
"cell 911","ductal","celseq"
"cell 912","ductal","celseq"
"cell 913","ductal","celseq"
"cell 914","ductal","celseq"
"cell 915","ductal","celseq"
"cell 916","ductal","celseq"
"cell 917","ductal","celseq"
"cell 918","ductal","celseq"
"cell 919","ductal","celseq"
"cell 920","ductal","celseq"
"cell 921","ductal","celseq"
"cell 922","ductal","celseq"
"cell 923","ductal","celseq"
"cell 924","ductal","celseq"
"cell 925","ductal","celseq"
"cell 926","ductal","celseq"
"cell 927","ductal","celseq"
"cell 928","ductal","celseq"
"cell 929","ductal","celseq"
"cell 930","ductal","celseq"
"cell 931","ductal","celseq"
"cell 932","ductal","celseq"
"cell 933","ductal","celseq"
"cell 934","ductal","celseq"
"cell 935","ductal","celseq"
"cell 936","ductal","celseq"
"cell 937","ductal","celseq"
"cell 938","ductal","celseq"
"cell 939","ductal","celseq"
"cell 940","ductal","celseq"
"cell 941","ductal","celseq"
"cell 942","ductal","celseq"
"cell 943","ductal","celseq"
"cell 944","ductal","celseq"
"cell 945","ductal","celseq"
"cell 946","ductal","celseq"
